ID,Study ID,Reference,Grouping,Victim,Perpetrator,Route Victim,Route Perpetrator,Mechanism,Compartment,AUCR Avg,AUCR AvgType,AUCR Var,AUCR VarType,CmaxR Avg,CmaxR AvgType,CmaxR Var,CmaxR VarType,t_placebo_0,t_placebo_end,t_treatment_0,t_treatment_end,t Unit,R Dose correction factor,Comment,Dose,Dose free API,Dose Unit,Route,Times of Administration,Times Unit,Description,Comment Regimen,Administered form,Formulation type,Infusion duration [min],Water volume ingested for drug intake [mL],Comment on administration/formulation,Fasted/Fed state,Duration of fasting before drug administration [h],Duration of fasting after drug administration [h],Comment on food intake
1108,Backman 1994,https://www.ncbi.nlm.nih.gov/pubmed/8198928,Midazolam with verapamil,Midazolam,Verapamil,PO,PO,Mechanism_based_Inactivation,Plasma,2.916666667,Arith. mean,,,1.969230769,Arith. mean,,,0,inf,25,inf,h,,,80,,mg,PO,S0-T8-R5,h,MD TID (2 days),"MD, day1: 14:30, 22:30, day2: 6:30, 14:30, 22:30",verpamil,"Verpamil 40 mg tabl., Orion Pharmaceutical Company Ltd",,,,,,,
1111,Wang 2005,https://ascpt.onlinelibrary.wiley.com/doi/abs/10.1016/j.clpt.2004.11.014,Midazolam after VER treatment,Midazolam,Verapamil,IV,PO,Mechanism_based_Inactivation,Plasma,1.452380952,Arith. mean,,,,,,,0,inf,168,inf,h,,AUCR was calculated with CLiv values,240,,mg,,S0-T24-R7,h,MD OD (7 days),MD,verapamil,"verapamil (SR, 240 mg qd.)",,,,,,,
1113,Fleishaker 1994,https://www.ncbi.nlm.nih.gov/pubmed/8005185,Alprazolam + fluvoxamine (day 10),Alprazolam,Fluvoxamine,PO,PO,Reversible_Inhibition,Plasma,1.963137996,Approx. Avg,,,1.861940466,Approx. CmaxR,,,72,96,216,240,h,,AUCratio and Cmax ratio also available for Day1,50/100,,mg,PO,S0-T24-R10,h,"MD OD (10 days), 50 mg day 1-3, then 100 mg","MD, QD",fluvoxamin maleate,,,,,fed,,,"The subjects ate standard meals at 07.00, 12.00, 18.00, and 22.00 h on all study days."
1114,Fleishaker 1994,https://www.ncbi.nlm.nih.gov/pubmed/8005185,Fluvoxamine + alprazolam (day 10),Fluvoxamine,Alprazolam,PO,PO,,Plasma,0.761066969,Approx. Avg,,,0.787512588,Approx. CmaxR,,,0,216,0,216,h,,Measurement on day 10,1,,mg,PO,144-149-154-159-168-173-178-183-192-197-202-207-216-221-226-231,h,MD QID (4 days),"MD, 4 times daily for 4 days (days 7-10 of the study period)",alprazolam,oral tablet,,,,fed,,,"The subjects ate standard meals at 07.00, 12.00, 18.00, and 22.00 h on all study days."
1116,Wang 2005,https://ascpt.onlinelibrary.wiley.com/doi/abs/10.1016/j.clpt.2004.11.014,Midazolam after VER treatment,Midazolam,Verapamil,PO,PO,Mechanism_based_Inactivation,Plasma,3.505617978,Arith. mean,,,,,,,24,inf,192,inf,h,,AUCR was calculated with CLpo values,240,,mg,,S0-T24-R7,h,MD OD (7 days),MD,verapamil,"verapamil (SR, 240 mg qd.)",,,,,,,
1095,Shin 2016,https://www.ncbi.nlm.nih.gov/pubmed/27317471,Midazolam + rifampicin,Midazolam,Rifampicin,IV,PO,Induction,Plasma,1.225,geom. Mean (GMR),1.15 - 1.325,90% CI,1.775,geom. Mean (GMR),1.7 - 1.9,90% CI,0,inf,216,inf,h,2.5,Cave! Different dose treatment vs control. Ratios calculated as reported Ratio*Dose(under Rif coadmin)/Dose(control).,600,,mg,PO,S0-T24-R10,h,MD OD (10 days),"MD, q.d. for 10 days",rifampicin,"Rifodex, Chong Kun Dang Pharmaceutical, Seoul, Korea",,,,,,,
422,Szalat 2007,https://www.ncbi.nlm.nih.gov/pubmed/17553741,with Perpetrator (Rifampicin),Midazolam,Rifampicin,IV,PO,Induction,Plasma,0.579467114,Approx. Avg,,,,,,,0,inf,132,inf,h,1,,600,,mg,PO,0-24-48-72-96-120-144,h,MD OD (7 days),MD,rifampicin,rifampicin (Sandoz GmbH),,,,,,,
2004,van Dyk 2018,https://www.ncbi.nlm.nih.gov/pubmed/29572563,Midazolam in Caucasian following 3d of Clarithromycin (between day 12 and 14),Midazolam,Clarithromycin,PO,PO,Mechanism_based_Inactivation,Plasma,1.9,geom. Mean,"1.5, 2.3",95% CI,1.75,Approx. CmaxR,,,0,6,324,330,h,,"Adjusted AUCratios (adjustment of different genotypes) are also available: AUC0-6 GMR with (95% CI)in µg/L/min: 2.0 (1.5, 2.4); Time adjusted to Time after first rifampicin dose",250,,mg,,S252-T12-R6,h,MD BID (3 days),"MD, bd for a 3-day course",clarithromycin,"Klacid Abbott Laboratories, NSW, Australia",,,,,,,
2005,van Dyk 2018,https://www.ncbi.nlm.nih.gov/pubmed/29572563,Midazolam in South Asian following 3d of Clarithromycin (between day 12 and 14),Midazolam,Clarithromycin,PO,PO,Mechanism_based_Inactivation,Plasma,1.5,geom. Mean,"0.8, 2.2",95% CI,1.509090909,Approx. CmaxR,,,0,6,324,330,h,,"Adjusted AUCratios (adjustment of different genotypes) are also available: AUC0-6 GMR with (95% CI)in µg/L/min: 1.7 (1.0, 2.5); Time adjusted to Time after first rifampicin dose",250,,mg,,S252-T12-R6,h,MD BID (3 days),"MD, bd for a 3-day course",clarithromycin,"Klacid Abbott Laboratories, NSW, Australia",,,,,,,
2007,Kashuba 1998,https://www.ncbi.nlm.nih.gov/pubmed/9757149,Midazolam after Fluvoxamine,Midazolam,Fluvoxamine,IV,PO,Reversible_Inhibition,Plasma,1.5,Approx. Avg,,,,,,,0,inf,517,inf,h,,"AUCR was calculated with CLiv values, 517 h is the mean of the two assessments (2 weeks / 4 weeks)",50/100,,mg,PO,0-24-48-58-72-82-96-106-120-130-144-154-168-178-192-202-216-226-240-250-264-274-288-298-312-322-336-346-360-370-384-394-408-418-432-442-456-466-480-490-504-514-528-538-552-562-576-586-600-610-624-634-648,h,"MD BID (4 weeks), dose titration to 150 mg/day over 7 days: 50 mg in the evening for 3 days, 50 mg in the morning and evening for the next 3 days, then 50 mg in the morning and 100 mg in the evening","MD, twice a day for 4 weeks, dose titration to 150 mg/day over 7 days: 50 mg in the evening for 3 days, 50 mg in the morning and evening for the next 3 days, 50 mg in the morning and 100 mg in the evening for the remainder of the study.",fluvoxamine,"50 mg fluvoxamine capsules (Luvox, lot number 87145, Solvay, Marietta, Ga.)",,,,,,,
2009,Gashaw 2003,https://www.ncbi.nlm.nih.gov/pubmed/?term=14586385,"Alprazolam 10h concentration after Rifampin treatment (5 day rifampin treatment, day 7)",Alprazolam,Rifampicin,PO,PO,Induction,Plasma,0.1793478,Approx. Avg,,,,,,,0,inf,100,436,h,1,AUCR was calculated with estimated CLoral values estimated from 1 plasma sample,450,,mg,PO,0-14-38-62-86,h,MD OD (5 days),"MD, q.d. for 5 days",,"Eremfat Fatol, Schiffweiler, Germany",,,,,,,
2010,Gashaw 2003,https://www.ncbi.nlm.nih.gov/pubmed/?term=14586385,Alprazolam 10h concentration after wash out (day 22),Alprazolam,Rifampicin,PO,PO,Induction,Plasma,0.9166667,Approx. Avg,,,,,,,0,inf,436,inf,h,1,AUCR was calculated with estimated CLoral values estimated from 1 plasma sample,450,,mg,PO,0-14-38-62-86,h,MD OD (5 days),"MD, q.d. for 5 days",,"Eremfat Fatol, Schiffweiler, Germany",,,,,,,
2012,Chen 2006,https://www.ncbi.nlm.nih.gov/pubmed/16842393,Midazolam post treatment with fluvoxamine (28 days of fluvoxamine) overall,Midazolam,Fluvoxamine,IV,PO,Reversible_Inhibition,Plasma,1.490566038,Arith. mean,,,,,,,0,inf,336,inf,h,,AUCR was calculated with CLiv values,50/100,,mg,PO,0-24-48-58-72-82-96-106-120-130-144-154-168-178-192-202-216-226-240-250-264-274-288-298-312-322-336-346-360-370-384-394-408-418-432-442-456-466-480-490-504-514-528-538-552-562-576-586-600-610-624-634-648,h,"MD BID (4 weeks), dose titration to 150 mg/day over 7 days: 50 mg in the evening for 3 days, 50 mg in the morning and evening for the next 3 days, then 50 mg in the morning and 100 mg in the evening","MD, twice a day for 4 weeks, dose titration to 150 mg/day over 7 days: 50 mg in the evening for 3 days, 50 mg in the morning and evening for the next 3 days, 50 mg in the morning and 100 mg in the evening for the remainder of the study.",fluvoxamine,"50 mg fluvoxamine capsules (Luvox, lot number 87145, Solvay, Marietta, Ga.)",,,,,,,
2014,Chen 2006,https://www.ncbi.nlm.nih.gov/pubmed/16842393,Midazolam post treatment with fluvoxamine (28 days of fluvoxamine) Male,Midazolam,Fluvoxamine,IV,PO,Reversible_Inhibition,Plasma,1.617021277,Arith. mean,,,,,,,0,inf,336,inf,h,,AUCR was calculated with CLiv values,50/100,,mg,PO,0-24-48-58-72-82-96-106-120-130-144-154-168-178-192-202-216-226-240-250-264-274-288-298-312-322-336-346-360-370-384-394-408-418-432-442-456-466-480-490-504-514-528-538-552-562-576-586-600-610-624-634-648,h,"MD BID (4 weeks), dose titration to 150 mg/day over 7 days: 50 mg in the evening for 3 days, 50 mg in the morning and evening for the next 3 days, then 50 mg in the morning and 100 mg in the evening","MD, twice a day for 4 weeks, dose titration to 150 mg/day over 7 days: 50 mg in the evening for 3 days, 50 mg in the morning and evening for the next 3 days, 50 mg in the morning and 100 mg in the evening for the remainder of the study.",fluvoxamine,"50 mg fluvoxamine capsules (Luvox, lot number 87145, Solvay, Marietta, Ga.)",,,,,,,
2016,Chen 2006,https://www.ncbi.nlm.nih.gov/pubmed/16842393,Midazolam post treatment with fluvoxamine (28 days of fluvoxamine) female,Midazolam,Fluvoxamine,IV,PO,Reversible_Inhibition,Plasma,1.372881356,Arith. mean,,,,,,,0,inf,336,inf,h,,AUCR was calculated with CLiv values,50/100,,mg,PO,0-24-48-58-72-82-96-106-120-130-144-154-168-178-192-202-216-226-240-250-264-274-288-298-312-322-336-346-360-370-384-394-408-418-432-442-456-466-480-490-504-514-528-538-552-562-576-586-600-610-624-634-648,h,"MD BID (4 weeks), dose titration to 150 mg/day over 7 days: 50 mg in the evening for 3 days, 50 mg in the morning and evening for the next 3 days, then 50 mg in the morning and 100 mg in the evening","MD, twice a day for 4 weeks, dose titration to 150 mg/day over 7 days: 50 mg in the evening for 3 days, 50 mg in the morning and evening for the next 3 days, 50 mg in the morning and 100 mg in the evening for the remainder of the study.",fluvoxamine,"50 mg fluvoxamine capsules (Luvox, lot number 87145, Solvay, Marietta, Ga.)",,,,,,,
2018,Suzuki 2003,https://www.ncbi.nlm.nih.gov/pubmed/12698310,Alprazolam with fluvoxamine (Japanese),Alprazolam,Fluvoxamine,PO,PO,Reversible_Inhibition,Plasma,,,,,,,,,316 (N=13) / 324 (N=10),inf,316 (N=13) / 324 (N=10),inf,h,,,25 (N=19) / 50 (N=2) / 100 (N=2),,mg,PO,S0-T24-R14,h,MD OD (14 days),"MD, The doses of FLV were 25 mg in 19 subjects, 50 mg in 2, and 100 mg in 2. FLV taken at 21:00 by all subjects.",fluvoxamine,oral formulation,,,,,,,
2025,Quinney 2008,https://www.ncbi.nlm.nih.gov/pubmed/17635500,iv Midazolam Female after clarithromycin,Midazolam,Clarithromycin,IV,PO,Mechanism_based_Inactivation,Whole Blood,3.6,GMR,"2.8, 4.4",95% CI,1.206896552,Approx. CmaxR,,,0,inf,146,inf,h,,,500,,mg,PO,S0-T12-R14,h,MD BID (7 days),"MD, bid for 7 days",clarithromycin,,,,,,,,
2026,Quinney 2008,https://www.ncbi.nlm.nih.gov/pubmed/17635500,iv Midazolam Male after clarithromycin,Midazolam,Clarithromycin,IV,PO,Mechanism_based_Inactivation,Whole Blood,2.9,GMR,"2.0, 3.7",95% CI,1.118644068,Approx. CmaxR,,,0,inf,146,inf,h,,,500,,mg,PO,S0-T12-R14,h,MD BID (7 days),"MD, bid for 7 days",clarithromycin,,,,,,,,
2027,Quinney 2008,https://www.ncbi.nlm.nih.gov/pubmed/17635500,iv Midazolam All after clarithromycin,Midazolam,Clarithromycin,IV,PO,Mechanism_based_Inactivation,Whole Blood,3.2,GMR,"2.7, 3.8",95% CI,1.172413793,Approx. CmaxR,,,0,inf,146,inf,h,,,500,,mg,PO,S0-T12-R14,h,MD BID (7 days),"MD, bid for 7 days",clarithromycin,,,,,,,,
2028,Quinney 2008,https://www.ncbi.nlm.nih.gov/pubmed/17635500,po Midazolam Female after clarithromycin,Midazolam,Clarithromycin,PO,PO,Mechanism_based_Inactivation,Whole Blood,8.2,GMR,"4.8, 11.6",95% CI,2.833333333,Approx. CmaxR,,,0,inf,146,inf,h,,,500,,mg,PO,S0-T12-R14,h,MD BID (7 days),"MD, bid for 7 days",clarithromycin,,,,,,,,
2029,Quinney 2008,https://www.ncbi.nlm.nih.gov/pubmed/17635500,po Midazolam Male after clarithromycin,Midazolam,Clarithromycin,PO,PO,Mechanism_based_Inactivation,Whole Blood,7.7,GMR,"4.5, 11",95% CI,2.583333333,Approx. CmaxR,,,0,inf,146,inf,h,,,500,,mg,PO,S0-T12-R14,h,MD BID (7 days),"MD, bid for 7 days",clarithromycin,,,,,,,,
2030,Quinney 2008,https://www.ncbi.nlm.nih.gov/pubmed/17635500,po Midazolam All after clarithromycin,Midazolam,Clarithromycin,PO,PO,Mechanism_based_Inactivation,Whole Blood,8,GMR,"5.7, 10.2",95% CI,2.75,Approx. CmaxR,,,0,inf,146,inf,h,,,500,,mg,PO,S0-T12-R14,h,MD BID (7 days),"MD, bid for 7 days",clarithromycin,,,,,,,,
2035,Kim 2018,https://www.ncbi.nlm.nih.gov/pubmed/28877336,Midazolam + Ketoconazole Male,Midazolam,Ketoconazole,IV,PO,Reversible_Inhibition,Plasma,2.89,geom. Mean (GMR),2.57 - 3.25,90% CI,,,,,0,inf,72,inf,h,1,,400,,mg,PO,S0-T24-R4,h,MD OD (4 days),"MD, q.d. for 4 days",ketoconazole,oral formulation,,,,,,,
2002,van Dyk 2018,https://www.ncbi.nlm.nih.gov/pubmed/29572563,Midazolam in Caucasian following 7d of Rifampicin (between day 1 and 8),Midazolam,Rifampicin,PO,PO,Induction,Plasma,0.256410256,geom. Mean,0.208333333333333-0.333333333333333,95% CI,0.375,Approx. CmaxR,,,0,6,156,162,h,1,"Adjusted AUCratios (adjustment of different genotypes) are also available: AUC0-6 GMR with (95% CI)in µg/L/min: 4.2 (3.2, 5.2)",300,,mg,PO,S0-T24-R7,h,MD OD (7 days),"MD, qd for a 7-day course each evening",rifampicin,"Rifadin Sanofi, NSW, Australia",,,,,,,
2038,Kim 2018,https://www.ncbi.nlm.nih.gov/pubmed/28877336,Midazolam + Ketoconazole Female,Midazolam,Ketoconazole,IV,PO,Reversible_Inhibition,Plasma,4.77,geom. Mean (GMR),4.52 - 5.03,90% CI,,,,,0,inf,72,inf,h,1,,400,,mg,PO,S0-T24-R4,h,MD OD (4 days),"MD, q.d. for 4 days",ketoconazole,oral formulation,,,,,,,
2003,van Dyk 2018,https://www.ncbi.nlm.nih.gov/pubmed/29572563,Midazolam in South Asian following 7d of Rifampicin (between day 1 and 8),Midazolam,Rifampicin,PO,PO,Induction,Plasma,0.188679245,geom. Mean,0.15625-0.263157894736842,95% CI,0.218181818,Approx. CmaxR,,,0,6,156,162,h,1,"Adjusted AUCratios (adjustment of different genotypes) are also available: AUC0-6 GMR with (95% CI)in µg/L/min: 5.4 (3.8, 7.0)",300,,mg,PO,S0-T24-R7,h,MD OD (7 days),"MD, qd for a 7-day course each evening",rifampicin,"Rifadin Sanofi, NSW, Australia",,,,,,,
2044,Mikus 2017,https://www.ncbi.nlm.nih.gov/pubmed/28194792,Efavirenz + Midazolam PO day 1,Midazolam,Efavirenz,PO,PO,Induction,Plasma,0.5905511,Geom. mean,,,,,,,0,6,12,18,h,,,400,,mg,PO,0,h,SD,,,,,,,,,,
2045,Mikus 2017,https://www.ncbi.nlm.nih.gov/pubmed/28194792,Efavirenz + Midazolam IV day 1,Midazolam,Efavirenz,IV,PO,Induction,Plasma,0.78537735,Geom. mean,,,,,,,6,14,18,26,h,,,400,,mg,PO,0,h,SD,,,,,,,,,,
2047,Mikus 2017,https://www.ncbi.nlm.nih.gov/pubmed/28194792,Efavirenz + Midazolam PO day 6,Midazolam,Efavirenz,PO,PO,Induction,Plasma,0.6141732,Geom. mean,,,,,,,0,6,132,138,h,,,400,,mg,PO,0,h,SD,,,,,,,,,,
2048,Mikus 2017,https://www.ncbi.nlm.nih.gov/pubmed/28194792,Efavirenz + Midazolam IV day 6,Midazolam,Efavirenz,IV,PO,Induction,Plasma,0.7771226,Geom. mean,,,,,,,6,14,138,146,h,,,400,,mg,PO,0,h,SD,,,,,,,,,,
2049,Mikus 2017,https://www.ncbi.nlm.nih.gov/pubmed/28194792,Efavirenz + Midazolam PO day 11,Midazolam,Efavirenz,PO,PO,Induction,Plasma,0.769685,Geom. mean,,,,,,,0,6,252,258,h,,,400,,mg,PO,0,h,SD,,,,,,,,,,
2050,Mikus 2017,https://www.ncbi.nlm.nih.gov/pubmed/28194792,Efavirenz + Midazolam IV day 11,Midazolam,Efavirenz,IV,PO,Induction,Plasma,0.9375,Geom. mean,,,,,,,6,14,258,266,h,,,400,,mg,PO,0,h,SD,,,,,,,,,,
2051,Mikus 2017,https://www.ncbi.nlm.nih.gov/pubmed/28194792,Efavirenz + Midazolam PO day 16,Midazolam,Efavirenz,PO,PO,Induction,Plasma,0.7480314,Geom. mean,,,,,,,0,6,372,378,h,,,400,,mg,PO,0,h,SD,,,,,,,,,,
2052,Mikus 2017,https://www.ncbi.nlm.nih.gov/pubmed/28194792,Efavirenz + Midazolam IV day 16,Midazolam,Efavirenz,IV,PO,Induction,Plasma,0.8537735,Geom. mean,,,,,,,6,14,378,386,h,,,400,,mg,PO,0,h,SD,,,,,,,,,,
2053,Mikus 2017,https://www.ncbi.nlm.nih.gov/pubmed/28194792,Efavirenz + Midazolam PO  day 22,Midazolam,Efavirenz,PO,PO,Induction,Plasma,0.8366141,Geom. mean,,,,,,,0,6,516,522,h,,,400,,mg,PO,0,h,SD,,,,,,,,,,
2054,Mikus 2017,https://www.ncbi.nlm.nih.gov/pubmed/28194792,Efavirenz + Midazolam IV  day 22,Midazolam,Efavirenz,IV,PO,Induction,Plasma,0.9221698,Geom. mean,,,,,,,6,14,522,530,h,,,400,,mg,PO,0,h,SD,,,,,,,,,,
197,Yu 2004,https://www.ncbi.nlm.nih.gov/pubmed/15289787,Treatment Itraconazole CYP3A5*1/*1,Midazolam,Itraconazole,IV,PO,Reversible_Inhibition,Plasma,2.272727273,Arith. mean,,,,,,,0,9999,72,9999,h,1,AUCR was calculated with CLiv values,200,,mg,PO,S0-T24-R4,h,MD OD (4 days),"MD, q.d. for 4 days",,Sporanox capsules,,,,fasted,overnight,,
198,Yu 2004,https://www.ncbi.nlm.nih.gov/pubmed/15289787,Treatment Itraconazole CYP3A5*1/*3,Midazolam,Itraconazole,IV,PO,Reversible_Inhibition,Plasma,2.702702703,Arith. mean,,,,,,,0,9999,72,9999,h,1,AUCR was calculated with CLiv values,200,,mg,PO,S0-T24-R4,h,MD OD (4 days),"MD, q.d. for 4 days",,Sporanox capsules,,,,fasted,overnight,,
199,Yu 2004,https://www.ncbi.nlm.nih.gov/pubmed/15289787,Treatment Itraconazole CYP3A5*3/*3,Midazolam,Itraconazole,IV,PO,Reversible_Inhibition,Plasma,3.333333333,Arith. mean,,,,,,,0,9999,72,9999,h,1,AUCR was calculated with CLiv values,200,,mg,PO,S0-T24-R4,h,MD OD (4 days),"MD, q.d. for 4 days",,Sporanox capsules,,,,fasted,overnight,,
204,Wiesinger 2020,https://www.ncbi.nlm.nih.gov/pubmed/32275771,Weak-induction phase (RIF 10 mg),Midazolam,Rifampicin,PO,PO,Induction,Plasma,0.539,GMR,0.491-0.592,90% CI,0.632653061,Approx. Avg,,,0,9999,180,444,h,1,,10,,mg,PO,S0-T24-R22,h,MD OD (22 days),"MD, q.d. for 22 days",,Eremfat Sirup Suspension,,,,,,,
205,Wiesinger 2020,https://www.ncbi.nlm.nih.gov/pubmed/32275771,Strong-induction phase (RIF 600 mg),Midazolam,Rifampicin,PO,PO,Induction,Plasma,0.137,GMR,0.124-0.150,90% CI,0.18755102,Approx. Avg,,,0,9999,444,9999,h,1,,600,,mg,PO,S0-T24-R22,h,MD OD (22 days),"MD, q.d. for 22 days",,Eremfat Tablet,,,,,,,
200,Yu 2004,https://www.ncbi.nlm.nih.gov/pubmed/15289787,Treatment Rifampicin CYP3A5*1/*1,Midazolam,Rifampicin,IV,PO,Induction,Plasma,0.985221675,Arith. mean,,,,,,,0,9999,240,9999,h,2,Cave! Different dose treatment vs control. Ratios calculated as reported Ratio*Dose(under Rif coadmin)/Dose(control). AUCR was calculated with CLiv values.,600,,mg,PO,S0-T24-R10,h,MD OD (10 days),"MD, q.d. for 10 days",,Rifodex,,,,fasted,overnight,,
2041,Katzenmaier 2010,https://www.ncbi.nlm.nih.gov/pubmed/20680253,Midazolam + Efavirenz,Midazolam,Efavirenz,PO,PO,Induction,Plasma,0.1027,Approx. Avg,,,0.1806,Approx. Avg,,,0,12,336,340,h,,"not mentioned in the paper, calculated from scanned aggregated data",400,,mg,PO,S0-T24-R14,h,MD OD (14 days),"MD, q.d. for 14 days",Efavirenz,Sustiva,,,,,,,
201,Yu 2004,https://www.ncbi.nlm.nih.gov/pubmed/15289787,Treatment Rifampicin CYP3A5*1/*3,Midazolam,Rifampicin,IV,PO,Induction,Plasma,0.819672131,Arith. mean,,,,,,,0,9999,240,9999,h,2,Cave! Different dose treatment vs control. Ratios calculated as reported Ratio*Dose(under Rif coadmin)/Dose(control). AUCR was calculated with CLiv values.,600,,mg,PO,S0-T24-R10,h,MD OD (10 days),"MD, q.d. for 10 days",,Rifodex,,,,fasted,overnight,,
202,Yu 2004,https://www.ncbi.nlm.nih.gov/pubmed/15289787,Treatment Rifampicin CYP3A5*3/*3,Midazolam,Rifampicin,IV,PO,Induction,Plasma,0.833333333,Arith. mean,,,,,,,0,9999,240,9999,h,2,Cave! Different dose treatment vs control. Ratios calculated as reported Ratio*Dose(under Rif coadmin)/Dose(control). AUCR was calculated with CLiv values.,600,,mg,PO,S0-T24-R10,h,MD OD (10 days),"MD, q.d. for 10 days",,Rifodex,,,,fasted,overnight,,
2056,Barbarash 1988,https://www.ncbi.nlm.nih.gov/pubmed/3180898,Verapamil IV after 2 weeks of Rifampicin therapy,Verapamil,Rifampicin,IV,PO,Induction,Serum,0.81865285,Approx. Avg,,,,,,,0,inf,300,inf,h,1,,600,,mg,PO,S0-T24-R15,h,MD OD (15 days),1 oral dose every night,rifampin,oral formulation,,,,,,,
2058,Barbarash 1988,https://www.ncbi.nlm.nih.gov/pubmed/3180898,Verapamil PO after 2 weeks of Rifampicin therapy,Verapamil,Rifampicin,PO,PO,Induction,Serum,0.065110099,Approx. Avg,,,0.036960986,Approx. Avg,,,48,inf,348,inf,h,1,,600,,mg,PO,S0-T24-R15,h,MD OD (15 days),1 oral dose every night,rifampin,oral formulation,,,,,,,
1319,Greenblatt 1986,https://pubmed.ncbi.nlm.nih.gov/2935051/,"300 mg QD Cimetidine, 5 mg Midazolam IV",Midazolam,Cimetidine,IV,PO,Reversible_Inhibition,Plasma,0.892561983,Approx. Avg,,,,,,,0,inf,24,inf,h,,calculated from CL values,300,,mg,,S0-T6-R8,h,MD QID (2 days),MD: QID (Day 1-2),,,,,,,,,Fasted on Day 2 (Subjects fasted 8h before and for 3h after MDZ dosing)
1321,Greenblatt 1986,https://pubmed.ncbi.nlm.nih.gov/2935051/,"300 mg QD Cimetidine, 15 mg Midazolam PO",Midazolam,Cimetidine,PO,PO,Reversible_Inhibition,Plasma,1.132867133,Approx. Avg,,,1.055555556,Approx. Avg,,,0,inf,24,inf,h,,calculated from CL values,300,,mg,,S0-T6-R8,h,MD QID (2 days),MD: QID (Day 1-2),,,,,,,,,Fasted on Day 2 (Subjects fasted 8h before and for 3h after MDZ dosing)
1322,Martinez 1999,https://pubmed.ncbi.nlm.nih.gov/10223772/,"800 mg Cimetidine, 7.5 mg Midazolam PO",Midazolam,Cimetidine,PO,PO,Reversible_Inhibition,Plasma,1.497333333,Approx. Avg,,,,,,,0,inf,0,inf,h,,,800,,mg,,0,h,SD,SD,,"Sigma Chemical Co (Barcelona, Spain)",,,,,,,
1324,Fee 1987,https://pubmed.ncbi.nlm.nih.gov/3802710/,"400 mg BID Cimetidine, 15 mg Midazolam",Midazolam,Cimetidine,PO,PO,Reversible_Inhibition,Plasma,1.345637584,Approx. Avg,,,,,,,0,inf,25,inf,h,,,400,,mg,,"0-12-24,5",h,"MD: BID (1 day), OD (1 day)","MD: BID (Day 1), OD (Day 2)",,,,,,Fasted,overnight,,
1326,Salonen 1986,https://pubmed.ncbi.nlm.nih.gov/2939688/,"400 mg Cimetidine, 15 mg Midazolam",Midazolam,Cimetidine,PO,PO,Reversible_Inhibition,Plasma,1.364877589,Approx. Avg,,,1.373211964,Approx. Avg,,,0,5,2,7,h,,,400,,mg,PO,0,h,SD,SD,,,,,,,,,
1328,Smith 1984,https://pubmed.ncbi.nlm.nih.gov/6478741/,IV 10 mg Verapamil + Cimetidine,Verapamil,Cimetidine,IV,PO,Reversible_Inhibition,Plasma,0.707692308,Approx. Avg,,,0.95923913,Approx. Avg,,,0,inf,168,inf,h,,,300,,mg,PO,S0-T6-R36,h,MD QID (9 days),MD QID (Day 1-9),,,,,,,,,
1330,Smith 1984,https://pubmed.ncbi.nlm.nih.gov/6478741/,PO 120 mg Verapamil + Cimetidine,Verapamil,Cimetidine,PO,PO,Reversible_Inhibition,Plasma,1.369680851,Approx. Avg,,,1.133333333,Approx. Avg,,,0,inf,168,inf,h,,,300,,mg,PO,S0-T6-R36,h,MD QID (9 days),MD QID (Day 1-9),,,,,,,,,
1332,Abernethy 1983,https://pubmed.ncbi.nlm.nih.gov/6137021/,Alprazolam + Cimetidine,Alprazolam,Cimetidine,PO,PO,Reversible_Inhibition,Plasma,1.580952381,Approx. Avg,,,1.032258065,Approx. Avg,,,0,inf,12,inf,h,,calculated from CL values,300,,mg,PO,S0-T6-R4,h,MD QID (1 day),MD QID (Day 1),,,,,,Fasted,,,
1334,Abernethy 1983,https://pubmed.ncbi.nlm.nih.gov/6137021/,Triazolam + Cimetidine,Triazolam,Cimetidine,PO,PO,Reversible_Inhibition,Plasma,1.542857143,Approx. Avg,,,1.204081633,Approx. Avg,,,0,inf,12,inf,h,,,300,,mg,PO,S0-T6-R4,h,MD QID (1 day),MD QID (Day 1),,,,,,Fasted,,,
1336,Friedman 1988,https://pubmed.ncbi.nlm.nih.gov/3360971/,Triazolam + Cimetidine,Triazolam,Cimetidine,PO,PO,Reversible_Inhibition,Plasma,1.322981366,Approx. Avg,,,1.390180879,Approx. Avg,,,0,inf,24,inf,h,,,300,,mg,PO,S0-T6-R8,h,MD QID (2 days),MD QID (Day 1-2),,,,,,,,,Subjects fasted overnight before triazolam administration
1338,Cox 1986,https://pubmed.ncbi.nlm.nih.gov/3828486/,triazolam + cimetidine,Triazolam,Cimetidine,intraduodenal,PO,Reversible_Inhibition,Serum,1.545454545,Approx. Avg,,,1.350877193,Approx. Avg,,,0,inf,13,inf,h,,,300,,mg,PO,S0-T6-R4,h,MD QID (1 day),MD QID (Day 1),,oral liquid,,,,,,,Subjects were fasted for 12h prior to each triazolam treatment and for 4h after each treatment
